"prior_message","barney_message"
"He rises from his chair, dancing and going to turn the jukebox.","I watch this young man dancing near the jukebox, and I can not help thinking... Stella may have made the right choice. Ouch!"
"How can he dance here? He should be trying to smash the car with a club of Stella.","Assumption. He is not pretending to be happy. Ted is really happy. He did not want to marry from the start. Ted had the best train dodge since Stand by Me Well, not the first kid, but others."
"Barney entered the apartment with two women.","Hey, kid."
"Barney, I'm fine! It is not necessary, and it is rather unhealthy. Sorry, ladies.","I did not know you'd be here. Girls stairwell."
"It's OK.","Guys, let him go. He is happy. Listen, if Ted was married, then he would be married, he would live in New Jersey, and he would be married. It is well. Good, let's eat. Let Flat Michael's?"
"Two blocks from her mother's hairdresser.","Okay, Ted, is there a place in Manhattan where one can dine?"
"He is serious?","I will not in this table. Possibly, in this one."
"She looks happy? She talked about me? I do not care.Where are the almonds?","Where may well be nuts Ted? You should check the garage in the grip of Stella."
"End flashback","My poor. Being forced to grow up in Canada with America, right next door."
"The Gazeur nickname stuck. He had so much ridicule, he had to change schools.","The kids are great."
"Ted, this is ridiculous.","I am a person who... Well, are facing. There are a bunch of people I do not want to see... as the group of ""girls that I skipped""... but if one of them came here, I would stay there, and I would look into his eyes. For some, this would be the first time."
"Really, you hide from anybody? Not even... Becca Delucci?","Son of a bitch."
"Who is Becca Delucci?","Becca is this girl who lives in the North. I saw her from time to time."
"Where exactly in the north, Barney?","Bedford Hills Federal Penitentiary."
"Barney is in the parlor with a woman.","And yes, the visits were of a conjugal nature."
"That's not true?","Really. And that I had with Becca was a perfect relationship. She was allowed to call me once a week. If it becomes too sticky, the armed guards stoppaient. I've never had to pay for dinner. In fact, this is false. I pay taxes. I guess we all paid for dinner. Thank you, guys. Anyway, at the last visit, I screwed up."
"Flashback","I know it's hard, baby, but I'm in a prison too.Imprisoned in my heart. This room is ready or what? We can...?"
"You're the only thing that kept me here.","That's why I'm here, baby. I am your strength. I'm...Oh, my God. Hello, stranger. Barney Stinson, attorney. Let's talk about your output."
"My father.","Boy, this sure is another table. What are we talking?"
"My body started to change...","Wait a second. Sorry, continues."
"And Kyle and I are doing anything serious. It was only the blue line.","The blue line?"
"Sorry.","It's hot."
"I'll talk to him. She's gone. I'll catch up.","There, there."
"I will say, ""Sorry it did not work. ""We will discuss in adults. She'll tell me his views and... I will listen. What I should have done more before.","You can fly it into the lamp? Fasten your seat belts!Not you, Ted."
"That's his problem.","Come on, Ted. She left you on the altar."
"Get rid of your demons!","I have ants in my leg!"
"It k*ll!","From cold blood."
