"prior_message","barney_message"
"Lily.","That girl over there."
"We went to college together, she's great. Everybody liked him.","Oh I know what we do here. Tell me when it stops."
"And now, a single and Maggie is available along the way to this bar right now. I made him take a taxi with a woman driver for there is no interaction with a man, so far.","Even when I arrived here, she still will not touch with a man. I feel good tonight, this evening will be well."
"She's right baby, if you had worn it in college, even I would not have slept with you. And if you remember, I wanted to.","No way, no one could sleep while wearing it. Challenge accepted. I, Barney Stinson, brilliant mind in an extraordinary body, this will overalls, and lie with a woman."
"Your challenge not interest me but you're cheating. Wear a suit under the overalls.","No. They are called not on the shirt, or on t-shirts for wholesale repairing the car and my mother spent some time with her top. They are called overalls, and I can relate to what I want."
"Bizarre as drinking game.","I offer you a drink?"
"It was a big tractor 3-axis.","What do I do?"
"You let him with Barney?","Ted, will you calm down? I'm your pal!"
"You're an animal!","And I know our relationship has suffered in this area, I assure you I'll be the perfect gentleman."
"Thank you! In fact, I love this bib!","You have 10 minutes to get here, the window closes."
"10 minutes?","Yeah, because we're friends!"
"In McLaren's...","Really..."
"How could you?","I'm challenged to have sex with overalls. And if you stay on my path, then you let Barney win. And you do not want that!This place will never tell us the end of history."
"Put yourself on the line Bob!","Yeah, I'll sleep with her. After, he'll tell her he loves her.And you can do... what you want. Is there agreement on the order?"
"I'm in love with her for 12 years!","I wear this jumpsuit since 1:30!"
"We continue to negotiate until we have a very small window of opportunity.","Guys, let me assure you that if you let me... the window will reopen in about 10 minutes."
"There was never a next time. The window of Maggie never reopened.","Well, I found! There are bars country, ""the giddy ups"", there are tons of guys in overalls. Copilot me!"
"I do not want the ""giddy ups."" That's what I want. I had forgotten how it felt to seeking the real thing... but I think I'm ready again.","Let me tell you where I am... I want to sleep with a girl in order to remove this jumpsuit. Go, go. You gotta help me, I have to remove this damn thing."
