"prior_message","barney_message"
"Because tonight, I am getting us all into ""Okay"".","""Okay""!? Awesome!!"
"What's going on, did I just have a stroke?","""Okay"" is the name of a club. Yeah, it's supposed to be incredibly exclusive. This friend of mine once waited outside for two hours, he couldn't get in."
"A friend of yours named you?","No... a friend of mine named, shut up."
"He's even getting me into the VIP room.","Yeah, he just wants to show you his own VIP if you know what I mean..."
"Okay, what does ""VIP"" stand for in your universe?",".. I know that the ""P"" is penis."
"Ever since then she's been signing him up for book clubs, cooking classes...","All the things you do when you know where the next ten thousand lays are coming from."
"Oh, you are gonna love Kelly. She's fun, she's smart, she lives in the moment.","Translation, she's ugly, she's ugly, she ugs in the ugly."
"Okay, I guess I can take her off your hands for an evening.","So, do you have any other hot single fr..."
"Thank you.","And his hair was perfect."
"Hey we're wearing the same shirt! Oh, wait no that's just my shirt reflected in yours.","One of the twenty-four similarities between girls and fish is that they're both attracted to shiny objects. You really never read my blog, do you?"
"Alright, well, have fun at your little disco, guys.","What the hell happened to these two?"
"Yeah, it's going to be sweet, too. Like tonight we're tasting all these different wines, pairing them up with these cool gourmet cheeses...","Wow, who knew being committed in a heterosexual relationship could make a guy so gay."
"Do strategies ever work for you?","Question is: do these strategies ever not work for me? Either way the answer's ""about half the time""."
"Whoa... this place in lourd!","You think?"
"You think?","Okay, it's a little loud."
"I'm bailing, see ya.","Oh hey, I can't see her face. Is she hot?"
"..any aspirin?","Maybe theres..."
"Maybe theres...","a machine in..."
"a machine in...","The restroom."
"Barney.","Ted, bring your coat, we're leaving."
"What? What happened to that, uh, cutlet you were grinding with?","That was my cousin, Leslie."
"What?!","No, no, no... we are not laughing about this, Ted. This is not going to be some funny story that we'll be telling in a couple months. It's not gonna be like, ""Hey, remember that time when you were grinding with... NO! And you know why? Because, italics, this night did not happen. And you promise me that you will never, ever, ever tell another soul what transpired here tonight. You promise. Promise"
"Hey. Thanks for saving my night. I'll talk to you soon? Umm, hey... tip her, Barney.","Why, I didn't check a coat. And even if I did, on principle tip jars have become so..."
"Funny story, Barney was grinding with this girl all night...","FINE! Just... eh."
"I'M SORRY, I JUST ASSUMMED YOU...","THEY PLAYED SOME GOOD SONGS TONIGHT."
"I KNOW, I KNOW. IT JUST SEEMS LIKE SUDDENLY WE'RE LIVING IN TWO DIFFERENT WORLDS. MAYBE YOU'VE GOT MORE IN COMMON WITH BARNEY.","WHAT?"
"PROBLEM IS... YOU CAN'T DO ANY OF THAT COUPLE STUFF UNLESS YOU HAVE SOMEONE TO DO IT WITH. AND THE ONLY WAY I'M GOING TO FIND THAT SOMEONE IS BY GOING OUT DOING STUPID SINGLE STUFF WITH BARNEY.","WHAT?"
"YOU KNOW, TED, I DON'T SAY THIS NEARLY ENOUGH BUT REALLY...","THAT PLACE MAKES GREAT SALADS!"
